Building,Door Name,Latitude,Longitude
CCIS,Left 1,53.5279796663305000000,-113.52624824052000000
ATH,Main,53.5267059429617000000,-113.52651656891000000
ATH,Right,53.5263922638098000000,-113.52667388707000000
CCIS,Right,53.5279629213715000000,-113.52514469375800000
ATH,Left,53.5270417441689000000,-113.52662596572500000
PB,Main,53.5259396345622000000,-113.52651286012100000
PB,Back,53.5259422141725000000,-113.52689556500900000
CSC,South,53.5265658553575000000,-113.52692350670700000
CSC,West,53.5268909894889000000,-113.52746880091300000
CSC,North,53.5269997795729000000,-113.52699306127800000
CCIS,West,53.5284971284288000000,-113.52535785753500000
CCIS,East,53.5285014836160000000,-113.52497935565400000
ESB,North,53.5282826201709000000,-113.52328021370600000
TL,West,53.5281471316038000000,-113.52165022898500000
TL,East,53.5281505860280000000,-113.52127458540000000
ADM,South,53.5251534786775000000,-113.52559590334100000
ADM,North,53.5253635080080000000,-113.52558884861200000
SUB,South East,53.5250283788634000000,-113.52671475393700000
SUB,North East,53.5254617484598000000,-113.52684156367200000
SUB,South West,53.5249641204123000000,-113.52744233460300000
CAB,Main,53.5267402129224000000,-113.52512726718600000
CAB,Main 2,53.5262679392072000000,-113.52501165118700000
CAB,Back,53.5262886451399000000,-113.52455715672600000
SAB,North,53.5258987282873000000,-113.52501689718100000
SAB,North 2,53.5254830451845000000,-113.52501147657000000
SAB,South 2,53.5251085358055000000,-113.52474956382000000
CL,Main,53.5265048485684000000,-113.52407404151800000
C,Main,53.5272023086695000000,-113.52512975520100000
C,Back,53.5279432943634000000,-113.52443036127100000
C,Back 2,53.5274828117283000000,-113.52422187014900000
HUB,South,53.5248661731323000000,-113.52084233351300000
RL,East,53.5259464223052000000,-113.52129414196900000
RL,West,53.5259484951112000000,-113.52216518926500000
HC,South,53.5270750361124000000,-113.51970282484800000
HC,South East,53.5267809708956000000,-113.51893540013900000
SJ,North,53.5245712468011000000,-113.52462428326200000
SJ,West,53.5244658395452000000,-113.52516135532000000
SJ,East,53.5244782247379000000,-113.52409789607900000
VVC,North,53.5245800291838000000,-113.52713316487900000
VVC,South,53.5237379057548000000,-113.52708438714800000
PAV,South,53.5234006331601000000,-113.52710735271800000
PAV,East,53.5236656418163000000,-113.52700209057400000
PAV,West,53.5234237576614000000,-113.52883509746100000
DICE,East,53.5284040000000000000,-113.52886600000000000
CME,South,53.5278665781908000000,-113.52927535858200000
ETLC,North,53.5276933604956000000,-113.52941840171500000
ETLC,East,53.5273628909892000000,-113.52861080559500000
NRE,East,53.5268343427419000000,-113.52906352683600000
AF,South,53.5259330153178000000,-113.52750651349800000
AF,South2,53.5259704120548000000,-113.52863421634600000
MEC,South,53.5275093269239000000,-113.52841801259600000
MEC,North,53.5279214468180000000,-113.52851934724300000
ASH,East,53.5274649173335000000,-113.52660226081400000
ED-N,West,53.5236602119958000000,-113.52358960758000000
ED-S,North,53.5233929954061000000,-113.52365698873700000
ED-S,South,53.5230725671934000000,-113.52354562661600000
FAB,West,53.5244986970616000000,-113.52077062249100000
FAB,East,53.5246106117326000000,-113.51932219742000000
LC,West,53.5246605398595000000,-113.51900451785500000
LC,East,53.5245536596613000000,-113.51821478128700000
HEB,East,53.5250930569492000000,-113.53012443634000000
IND,South,53.5254027606730000000,-113.52868061714200000
NPP,North,53.5261267730961000000,-113.52329825549400000
SS,East,53.5241039866435000000,-113.52140591579400000
TC,West,53.5235618978902000000,-113.52059211167500000
TEL,West,53.5234509159340000000,-113.51880970727500000
TEL,South,53.5231848459621000000,-113.51862286364700000
