Start,SLatitude,SLongitude,End,ELatitude,ELongitude
CAB,53.5267547428369000,-113.524491349837000,CL,53.526749341264900,-113.5242133754780000
CAB,53.5268126799197000,-113.524824959862000,C,53.526830566355500,-113.5248292844000000
CAB,53.5263130333732000,-113.524785812193000,SAB,53.526109978535700,-113.5247866027440000
C,53.5279901633824000,-113.524825528256000,CCIS,53.528074980233000,-113.5248302667590000
CCIS,53.5281306307437000,-113.524628485477000,ESB,53.528145878352400,-113.5244405692650000
CCIS,53.5285605294925000,-113.525149246653000,BS,53.528620579698100,-113.5252348876500000
SUB,53.5256503564271000,-113.527926866801000,AF,53.525853815959200,-113.5280296804430000
AF,53.5260227434271000,-113.528637831113000,GSB,53.526024660496000,-113.5289910856310000
GSB,53.5261737505302000,-113.529193844364000,NREF,53.526299919381900,-113.5291916916570000
NRE,53.5267583461396000,-113.529269588120000,ETLC,53.527069469689800,-113.5295070181030000
ETLC,53.5274499174005000,-113.528578858372000,MEC,53.527556509697400,-113.5284284351250000
ETLC,53.5276946597614000,-113.529280754248000,CME,53.527869361424700,-113.5292726583970000
TC,53.5237970308343000,-113.520203815042000,FAB,53.523943510634800,-113.5201963286170000
FAB,53.5244731890171000,-113.519298588250000,LC,53.524470498269900,-113.5191015299130000
FAB,53.5246995387297000,-113.520333260329000,HUB,53.524886409097800,-113.5203332603290000
HUB,53.5250129553995000,-113.520925209582000,ULRT,53.525019934692300,-113.5211402588490000
HUB,53.5259402972810000,-113.520941673709000,RL,53.525941536410100,-113.5212176561300000
HUB,53.5275465950024000,-113.520769555365000,BUS,53.527560093069100,-113.5213634798340000
HUB,53.5273461290026000,-113.520531551224000,HC,53.527293982262700,-113.5202990200410000
BUS,53.5275925857720000,-113.522082027797000,T,53.527682851396400,-113.5220909368930000
HSLRT,53.5203711913206000,-113.526094978399000,ECHA,53.520831052955200,-113.5261212139480000
ECHA,53.5220880141664000,-113.526103415748000,MS,53.522067426776200,-113.5253245181090000
MS,53.5221684016099000,-113.524553370436000,KATZ,53.522243570471200,-113.5245698583080000
KATZ,53.5226908531464000,-113.523349237125000,ED,53.523116007254400,-113.5233140349920000
CSC,53.5266837791266000,-113.526932097722000,ATH,53.526682739062600,-113.5267484411850000
